date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:56	1030/1030	---M--	200	added ('OK')	image/gif	etag:%22c679ccd4-406-49d2153200a88%22	http://jumpgate.co.uk/JOSSH/media/medals/medal11.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/media/medals/medal11.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:56	3773/3773	---M--	200	added ('OK')	text/html	etag:%2297dc0915-ebd-49d20e88cc300%22	http://jumpgate.co.uk/JOSSH/database/medals/medal12.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/medals/medal12.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:56	583/583	---M--	200	added ('OK')	image/gif	etag:%2239378cef-247-49d21538bc4a8%22	http://jumpgate.co.uk/JOSSH/media/medals/medal12.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/media/medals/medal12.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:56	3829/3829	---M--	200	added ('OK')	text/html	etag:%22e6d04a1b-ef5-49d20e8b2f840%22	http://jumpgate.co.uk/JOSSH/database/medals/medal13.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/medals/medal13.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:57	579/579	---M--	200	added ('OK')	image/gif	etag:%2214eb7d72-243-49d2153e26470%22	http://jumpgate.co.uk/JOSSH/media/medals/medal13.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/media/medals/medal13.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:57	3210/3210	---M--	200	added ('OK')	text/html	etag:%229262980-c8a-49d20eada3d40%22	http://jumpgate.co.uk/JOSSH/database/medals/medal70.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/medals/medal70.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:57	1380/1380	---M--	200	added ('OK')	image/gif	etag:%224ba786ee-564-49d2156bbe658%22	http://jumpgate.co.uk/JOSSH/media/medals/medal70.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/media/medals/medal70.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:57	2735/2735	---M--	200	added ('OK')	text/html	etag:%222ca7efba-aaf-49d20eadda840%22	http://jumpgate.co.uk/JOSSH/database/medals/medal71.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/medals/medal71.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:58	1388/1388	---M--	200	added ('OK')	image/gif	etag:%22b9a72c88-56c-49d2156c19b48%22	http://jumpgate.co.uk/JOSSH/media/medals/medal71.gif	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/media/medals/medal71.gif	(from http://jumpgate.co.uk/JOSSH/database/index.html)
13:40:58	3863/3863	---M--	200	added ('OK')	text/html	etag:%22cc67a6c1-f17-49d20eaeeafa0%22	http://jumpgate.co.uk/JOSSH/database/medals/medal72.html	D:/files/Games/Jumpgate/_notes/station_production/station_production/jumpgate.co.uk/JOSSH/database/medals/medal72.html	(from http://jumpgate.co.uk/JOSSH/database/index.html)
